x,y,classes
-90.119186,38.621347,1
-90.280197,38.641972,1
-90.214489,38.612139,1
-90.2082,38.623372,1
-90.122483,38.620606,1
-90.228128,38.614211,1
-90.176758,38.616386,1
-90.235033,38.630781,1
-90.227519,38.630361,1
-90.250914,38.630939,1
-90.130692,38.643161,1
-90.171706,38.615625,1
-90.277861,38.641369,1
-90.171211,38.613969,1
-90.208972,38.597392,1
-90.156883,38.629492,1
-90.161269,38.648714,1
-90.273842,38.610856,1
-90.176564,38.616342,1
-90.194744,38.614994,1
-90.188711,38.619914,1
-90.216264,38.596672,1
-90.242661,38.627228,1
-90.274656,38.645022,1
-90.260086,38.618447,1
-90.192703,38.625142,1
-90.154242,38.641692,1
-90.221211,38.613797,1
-90.188814,38.643969,1
-90.132814,38.624089,1
-90.213589,38.626589,1
-90.275067,38.619058,1
-90.282711,38.641333,1
-90.20335,38.622208,1
-90.168214,38.617706,1
-90.135036,38.656789,1
-90.215772,38.598761,1
-90.255692,38.621772,1
-90.262461,38.618275,1
-90.267,38.64,1
-90.159208,38.643794,1
-90.235939,38.628228,1
-90.189603,38.6193,1
-90.280447,38.621917,1
-90.192086,38.616664,1
-90.182189,38.629222,1
-90.135122,38.625083,1
-90.197386,38.661892,1
-90.243139,38.632422,1
-90.218119,38.6243,1
-90.167725,38.616189,1
-90.207469,38.625419,1
-90.262328,38.596733,1
-90.193567,38.652528,1
-90.188728,38.620439,1
-90.146519,38.63355,1
-90.178467,38.645803,1
-90.129,38.623119,1
-90.162183,38.636608,1
-90.195836,38.622394,1
-90.214486,38.588319,1
-90.272511,38.641289,1
-90.124011,38.6219,1
-90.123997,38.641847,1
-90.280961,38.619264,1
-90.253286,38.631161,1
-90.236797,38.632022,1
-90.159503,38.628606,1
-90.207147,38.626747,1
-90.1612,38.637239,1
-90.163792,38.629667,1
-90.191133,38.646964,1
-90.171322,38.615111,1
-90.214447,38.612389,1
-90.227075,38.631017,1
-90.273694,38.611189,1
-90.174006,38.615411,1
-90.280997,38.619111,1
-90.144844,38.634011,1
-90.265958,38.637264,1
-90.250378,38.617592,1
-90.163139,38.629328,1
-90.135292,38.625169,1
-90.203267,38.623925,1
-90.165019,38.584069,1
-90.211389,38.630278,1
-90.250342,38.617764,1
-90.255669,38.58955,1
-90.249475,38.630208,1
-90.204839,38.626161,1
-90.131569,38.647497,1
-90.221267,38.613619,1
-90.18865,38.642869,1
-90.165003,38.616008,1
-90.214175,38.590719,1
-90.145989,38.633453,1
-90.149956,38.637233,1
-90.171211,38.613544,1
-90.200003,38.623036,1
-90.164483,38.629519,1
-90.283275,38.640356,1
-90.266383,38.633194,1
-90.182569,38.644656,1
-90.145028,38.632522,1
-90.200019,38.622992,1
-90.222161,38.628969,1
-90.155667,38.640803,1
-90.269839,38.643297,1
-90.215794,38.5939,1
-90.276075,38.6221,1
-90.187775,38.623958,1
-90.127581,38.589086,1
-90.266972,38.616222,1
-90.131769,38.623789,1
-90.231042,38.631011,1
-90.274961,38.645053,1
-90.245028,38.617097,1
-90.165608,38.618603,1
-90.257444,38.631225,1
-90.186819,38.619053,1
-90.186231,38.638269,1
-90.128433,38.645153,1
-90.261731,38.618889,1
-90.130303,38.657831,1
-90.227244,38.631075,1
-90.262256,38.618486,1
-90.132414,38.642706,1
